"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
157472,"KOGAN","KALED40F98VB","Australia,Fiji,New Zealand","LCD (LED)",54.48,4.5,"43 inch"
157472,"KOGAN","KALED40F98VC","Australia,Fiji,New Zealand","LCD (LED)",54.48,4.5,"43 inch"
157544,"ENGLAON","LED27M80","Australia,New Zealand","LCD (LED)",42.76,3,"32 inch"
157544,"ENGLAON","LED27X80","Australia,New Zealand","LCD (LED)",42.76,3,"32 inch"
157544,"ENGLAON","27inSmartTV","Australia,New Zealand","LCD (LED)",42.76,3,"32 inch"
157581,"EKO","K75USW2","Australia,Fiji,New Zealand","LCD (LED)",186.3,4.5,"65 inch"
157567,"BLAUPUNKT","BP75WOS","Australia,Fiji,New Zealand","LCD (LED)",186.3,4.5,"65 inch"
157590,"BLAUPUNKT","BP700USG9700","Australia,Fiji,New Zealand","LCD",153.11,4.5,"65 inch"
157597,"JVC","LT70N7145A","Australia","LCD (LED)",116.74,5.5,"65 inch"
157676,"KOGAN","KALED32R98VA","Australia,Fiji,New Zealand","LCD (LED)",28.86,4.5,"32 inch"
157676,"KOGAN","KALED32R98VB","Australia,Fiji,New Zealand","LCD (LED)",28.86,4.5,"32 inch"
157676,"KOGAN","KALED32R98VC","Australia,Fiji,New Zealand","LCD (LED)",28.86,4.5,"32 inch"
157699,"KOGAN","KAQL65XQ98GSTA","Australia,Fiji,New Zealand","LCD (LED)",195.5,2.5,"55 inch"
157699,"KOGAN","KAQL65XQ98GSTB","Australia,Fiji,New Zealand","LCD (LED)",195.5,2.5,"55 inch"
157699,"KOGAN","KAQL65XQ98GSTC","Australia,Fiji,New Zealand","LCD (LED)",195.5,2.5,"55 inch"
157699,"KOGAN","KAQL65XQ98GSTD","Australia,Fiji,New Zealand","LCD (LED)",195.5,2.5,"55 inch"
157699,"KOGAN","KAQL65XQ98GSTE","Australia,Fiji,New Zealand","LCD (LED)",195.5,2.5,"55 inch"
